Year,Week,Ranking,TV,movie_zh_name,category,director,imdb_score
2020,33,1,It's Okay to Not Be Okay,雖然是精神病但沒關係,"浪漫, 喜劇",Park Shin-woo,8.6
2020,33,1,It's Okay to Not Be Okay,雖然是精神病但沒關係,"浪漫, 喜劇",Jo Yong,8.6
2020,33,10,Mystic Pop-up Bar,雙甲路邊攤,"網路漫改, 奇幻",Bae Hye-Soo,8
2020,33,3,Was It Love?,我們，愛過嗎？,"浪漫, 喜劇",Park Jun Seo,7.1
2020,33,4,Hospital Playlist,機智醫生生活,醫療,Lee Woo-jung,8.8
2020,33,4,Hospital Playlist,機智醫生生活,醫療,Shin Won-ho,8.8
2020,33,7,Crash Landing on You,愛的迫降,"浪漫, 喜劇",Park Ji-eun,8.7
2020,34,1,It's Okay to Not Be Okay,雖然是精神病但沒關係,"浪漫, 喜劇",Park Shin-woo,8.6
2020,34,1,It's Okay to Not Be Okay,雖然是精神病但沒關係,"浪漫, 喜劇",Jo Yong,8.6
2020,34,2,Was It Love?,我們，愛過嗎？,"浪漫, 喜劇",Park Jun Seo,7.1
2020,34,3,Bimilui Soop,秘密森林,"犯罪, 驚悚",Lee Soo-yeon,8.5
2020,34,6,Hospital Playlist,機智醫生生活,醫療,Lee Woo-jung,8.8
2020,34,6,Hospital Playlist,機智醫生生活,醫療,Shin Won-ho,8.8
2020,34,7,Goedam,韓國都市怪談,恐怖,NA,5.7
2020,34,8,Crash Landing on You,愛的迫降,"浪漫, 喜劇",Park Ji-eun,8.7
2020,35,1,It's Okay to Not Be Okay,雖然是精神病但沒關係,"浪漫, 喜劇",Park Shin-woo,8.6
2020,35,1,It's Okay to Not Be Okay,雖然是精神病但沒關係,"浪漫, 喜劇",Jo Yong,8.6
2020,35,10,Crash Landing on You,愛的迫降,"浪漫, 喜劇",Park Ji-eun,8.7
2020,35,2,Goedam,韓國都市怪談,恐怖,NA,5.7
2020,35,3,Was It Love?,我們，愛過嗎？,"浪漫, 喜劇",Park Jun Seo,7.1
2020,35,6,Bimilui Soop,秘密森林,"犯罪, 驚悚",Lee Soo-yeon,8.5
2020,35,9,Hospital Playlist,機智醫生生活,醫療,Lee Woo-jung,8.8
2020,35,9,Hospital Playlist,機智醫生生活,醫療,Shin Won-ho,8.8
2020,36,1,It's Okay to Not Be Okay,雖然是精神病但沒關係,"浪漫, 喜劇",Park Shin-woo,8.6
2020,36,1,It's Okay to Not Be Okay,雖然是精神病但沒關係,"浪漫, 喜劇",Jo Yong,8.6
2020,36,10,Hospital Playlist,機智醫生生活,醫療,Lee Woo-jung,8.8
2020,36,10,Hospital Playlist,機智醫生生活,醫療,Shin Won-ho,8.8
2020,36,2,Was It Love?,我們，愛過嗎？,"浪漫, 喜劇",Park Jun Seo,7.1
2020,36,3,Bimilui Soop,秘密森林,"犯罪, 驚悚",Lee Soo-yeon,8.5
2020,36,9,Goedam,韓國都市怪談,恐怖,NA,5.7
2020,37,1,It's Okay to Not Be Okay,雖然是精神病但沒關係,"浪漫, 喜劇",Park Shin-woo,8.6
2020,37,1,It's Okay to Not Be Okay,雖然是精神病但沒關係,"浪漫, 喜劇",Jo Yong,8.6
2020,37,10,Hospital Playlist,機智醫生生活,醫療,Lee Woo-jung,8.8
2020,37,10,Hospital Playlist,機智醫生生活,醫療,Shin Won-ho,8.8
2020,37,2,Bimilui Soop,秘密森林,"犯罪, 驚悚",Lee Soo-yeon,8.5
2020,37,3,Was It Love?,我們，愛過嗎？,"浪漫, 喜劇",Park Jun Seo,7.1
2020,37,4,Record of Youth,青春紀錄,浪漫,Ha Myung-hee,7.3
2020,37,4,Record of Youth,青春紀錄,浪漫,Ahn Gil-ho,7.3
2020,38,1,Record of Youth,青春紀錄,浪漫,Ha Myung-hee,7.3
2020,38,1,Record of Youth,青春紀錄,浪漫,Ahn Gil-ho,7.3
2020,38,10,Crash Landing on You,愛的迫降,"浪漫, 喜劇",Park Ji-eun,8.7
2020,38,2,It's Okay to Not Be Okay,雖然是精神病但沒關係,"浪漫, 喜劇",Park Shin-woo,8.6
2020,38,2,It's Okay to Not Be Okay,雖然是精神病但沒關係,"浪漫, 喜劇",Jo Yong,8.6
2020,38,3,Bimilui Soop,秘密森林,"犯罪, 驚悚",Lee Soo-yeon,8.5
2020,38,4,Was It Love?,我們，愛過嗎？,"浪漫, 喜劇",Park Jun Seo,7.1
2020,39,1,Record of Youth,青春紀錄,浪漫,Ha Myung-hee,7.3
2020,39,1,Record of Youth,青春紀錄,浪漫,Ahn Gil-ho,7.3
2020,39,10,The School Nurse Files,非常校護檔案,"奇幻, 書籍改編",Lee Kyoung-mi,6.4
2020,39,10,The School Nurse Files,非常校護檔案,"奇幻, 書籍改編",Chung Se-rang,6.4
2020,39,2,Bimilui Soop,秘密森林,"犯罪, 驚悚",Lee Soo-yeon,8.5
2020,39,3,It's Okay to Not Be Okay,雖然是精神病但沒關係,"浪漫, 喜劇",Park Shin-woo,8.6
2020,39,3,It's Okay to Not Be Okay,雖然是精神病但沒關係,"浪漫, 喜劇",Jo Yong,8.6
2020,39,8,Was It Love?,我們，愛過嗎？,"浪漫, 喜劇",Park Jun Seo,7.1
2020,40,10,SKY Castle,天空之城,喜劇,Jo Hyun-tak,8.6
2020,40,10,SKY Castle,天空之城,喜劇,Yoo Hyun-mi,8.6
2020,40,2,Record of Youth,青春紀錄,浪漫,Ha Myung-hee,7.3
2020,40,2,Record of Youth,青春紀錄,浪漫,Ahn Gil-ho,7.3
2020,40,3,Bimilui Soop,秘密森林,"犯罪, 驚悚",Lee Soo-yeon,8.5
2020,40,4,It's Okay to Not Be Okay,雖然是精神病但沒關係,"浪漫, 喜劇",Park Shin-woo,8.6
2020,40,4,It's Okay to Not Be Okay,雖然是精神病但沒關係,"浪漫, 喜劇",Jo Yong,8.6
2020,40,5,The School Nurse Files,非常校護檔案,"奇幻, 書籍改編",Lee Kyoung-mi,6.4
2020,40,5,The School Nurse Files,非常校護檔案,"奇幻, 書籍改編",Chung Se-rang,6.4
2020,41,10,Do Do Sol Sol La La Sol,Do Do Sol Sol La La Sol,"浪漫, 喜劇",NA,7.3
2020,41,3,Record of Youth,青春紀錄,浪漫,Ha Myung-hee,7.3
2020,41,3,Record of Youth,青春紀錄,浪漫,Ahn Gil-ho,7.3
2020,41,4,Bimilui Soop,秘密森林,"犯罪, 驚悚",Lee Soo-yeon,8.5
2020,41,5,It's Okay to Not Be Okay,雖然是精神病但沒關係,"浪漫, 喜劇",Park Shin-woo,8.6
2020,41,5,It's Okay to Not Be Okay,雖然是精神病但沒關係,"浪漫, 喜劇",Jo Yong,8.6
2020,41,8,SKY Castle,天空之城,喜劇,Jo Hyun-tak,8.6
2020,41,8,SKY Castle,天空之城,喜劇,Yoo Hyun-mi,8.6
2020,41,9,Private Lives,私生活,驚悚,NA,6.5
2020,42,2,Record of Youth,青春紀錄,浪漫,Ha Myung-hee,7.3
2020,42,2,Record of Youth,青春紀錄,浪漫,Ahn Gil-ho,7.3
2020,42,5,Private Lives,私生活,驚悚,NA,6.5
2020,42,6,Bimilui Soop,秘密森林,"犯罪, 驚悚",Lee Soo-yeon,8.5
2020,42,8,It's Okay to Not Be Okay,雖然是精神病但沒關係,"浪漫, 喜劇",Park Shin-woo,8.6
2020,42,8,It's Okay to Not Be Okay,雖然是精神病但沒關係,"浪漫, 喜劇",Jo Yong,8.6
2020,43,10,It's Okay to Not Be Okay,雖然是精神病但沒關係,"浪漫, 喜劇",Park Shin-woo,8.6
2020,43,10,It's Okay to Not Be Okay,雖然是精神病但沒關係,"浪漫, 喜劇",Jo Yong,8.6
2020,43,3,Record of Youth,青春紀錄,浪漫,Ha Myung-hee,7.3
2020,43,3,Record of Youth,青春紀錄,浪漫,Ahn Gil-ho,7.3
2020,43,5,Start-Up,START-UP：我的新創時代,"浪漫, 喜劇",Park Hye-ryun,8.1
2020,43,9,Private Lives,私生活,驚悚,NA,6.5
2020,44,3,Record of Youth,青春紀錄,浪漫,Ha Myung-hee,7.3
2020,44,3,Record of Youth,青春紀錄,浪漫,Ahn Gil-ho,7.3
2020,44,7,Start-Up,START-UP：我的新創時代,"浪漫, 喜劇",Park Hye-ryun,8.1
2020,44,9,Private Lives,私生活,驚悚,NA,6.5
2020,45,5,Start-Up,START-UP：我的新創時代,"浪漫, 喜劇",Park Hye-ryun,8.1
2020,45,6,Record of Youth,青春紀錄,浪漫,Ha Myung-hee,7.3
2020,45,6,Record of Youth,青春紀錄,浪漫,Ahn Gil-ho,7.3
2020,45,9,Private Lives,私生活,驚悚,NA,6.5
2020,46,4,Start-Up,START-UP：我的新創時代,"浪漫, 喜劇",Park Hye-ryun,8.1
2020,46,8,Private Lives,私生活,驚悚,NA,6.5
2020,46,9,Record of Youth,青春紀錄,浪漫,Ha Myung-hee,7.3
2020,46,9,Record of Youth,青春紀錄,浪漫,Ahn Gil-ho,7.3
2020,47,3,Start-Up,START-UP：我的新創時代,"浪漫, 喜劇",Park Hye-ryun,8.1
2020,47,7,Private Lives,私生活,驚悚,NA,6.5
2020,48,10,Do Do Sol Sol La La Sol,Do Do Sol Sol La La Sol,"浪漫, 喜劇",NA,7.3
2020,48,2,Start-Up,START-UP：我的新創時代,"浪漫, 喜劇",Park Hye-ryun,8.1
2020,48,7,Private Lives,私生活,驚悚,NA,6.5
2020,49,1,Start-Up,START-UP：我的新創時代,"浪漫, 喜劇",Park Hye-ryun,8.1
2020,49,7,The Uncanny Counter,驅魔麵館,"網路漫改, 奇幻, 驚悚",NA,8.1
2020,49,8,Private Lives,私生活,驚悚,NA,6.5
2020,50,1,Start-Up,START-UP：我的新創時代,"浪漫, 喜劇",Park Hye-ryun,8.1
2020,50,4,The Uncanny Counter,驅魔麵館,"網路漫改, 奇幻, 驚悚",NA,8.1
2020,51,2,The Uncanny Counter,驅魔麵館,"網路漫改, 奇幻, 驚悚",NA,8.1
2020,51,3,Start-Up,START-UP：我的新創時代,"浪漫, 喜劇",Park Hye-ryun,8.1
2020,51,8,Sweet Home,甜蜜家園,"網路漫改, 恐怖",NA,7.3
2020,52,1,Sweet Home,甜蜜家園,"網路漫改, 恐怖",NA,7.3
2020,52,10,Lovestruck in the City,愛在大都會,"浪漫, 喜劇",Jung Hyun-jung,7.6
2020,52,2,The Uncanny Counter,驅魔麵館,"網路漫改, 奇幻, 驚悚",NA,8.1
2020,52,4,Start-Up,START-UP：我的新創時代,"浪漫, 喜劇",Park Hye-ryun,8.1
2020,53,1,Sweet Home,甜蜜家園,"網路漫改, 恐怖",NA,7.3
2020,53,3,The Uncanny Counter,驅魔麵館,"網路漫改, 奇幻, 驚悚",NA,8.1
2020,53,5,Start-Up,START-UP：我的新創時代,"浪漫, 喜劇",Park Hye-ryun,8.1
2021,1,1,The Uncanny Counter,驅魔麵館,"網路漫改, 奇幻, 驚悚",NA,8.1
2021,1,10,Run On,奔向愛情,"浪漫, 喜劇",NA,7.5
2021,1,2,Sweet Home,甜蜜家園,"網路漫改, 恐怖",NA,7.3
2021,1,4,Crash Landing on You,愛的迫降,"浪漫, 喜劇",Park Ji-eun,8.7
2021,2,1,The Uncanny Counter,驅魔麵館,"網路漫改, 奇幻, 驚悚",NA,8.1
2021,2,3,Sweet Home,甜蜜家園,"網路漫改, 恐怖",NA,7.3
2021,2,5,Crash Landing on You,愛的迫降,"浪漫, 喜劇",Park Ji-eun,8.7
2021,2,9,Run On,奔向愛情,"浪漫, 喜劇",NA,7.5
2021,3,1,The Uncanny Counter,驅魔麵館,"網路漫改, 奇幻, 驚悚",NA,8.1
2021,3,4,Sweet Home,甜蜜家園,"網路漫改, 恐怖",NA,7.3
2021,3,6,Run On,奔向愛情,"浪漫, 喜劇",NA,7.5
2021,3,8,Crash Landing on You,愛的迫降,"浪漫, 喜劇",Park Ji-eun,8.7
2021,4,1,The Uncanny Counter,驅魔麵館,"網路漫改, 奇幻, 驚悚",NA,8.1
2021,4,7,Run On,奔向愛情,"浪漫, 喜劇",NA,7.5
2021,5,1,The Uncanny Counter,驅魔麵館,"網路漫改, 奇幻, 驚悚",NA,8.1
2021,5,4,Run On,奔向愛情,"浪漫, 喜劇",NA,7.5
2021,6,1,The Uncanny Counter,驅魔麵館,"網路漫改, 奇幻, 驚悚",NA,8.1
2021,6,4,Run On,奔向愛情,"浪漫, 喜劇",NA,7.5
2021,6,8,Kingdom,屍戰朝鮮,"網路漫改, 政治, 時代經典, 驚悚, 恐怖, 冒險動作",Kim Eun-hee,8.3
2021,6,9,Lovestruck in the City,愛在大都會,"浪漫, 喜劇",Jung Hyun-jung,7.6
2021,7,1,The Uncanny Counter,驅魔麵館,"網路漫改, 奇幻, 驚悚",NA,8.1
2021,7,5,Lovestruck in the City,愛在大都會,"浪漫, 喜劇",Jung Hyun-jung,7.6
2021,7,6,Sisyphus,薛西弗斯的神話,"科幻, 驚悚, 冒險動作",NA,7
2021,7,7,Run On,奔向愛情,"浪漫, 喜劇",NA,7.5
2021,8,1,Vincenzo,黑道律師文森佐,社會議題,Park Jae-beom,8.4
2021,8,1,Vincenzo,黑道律師文森佐,社會議題,Kim Hee-won,8.4
2021,8,2,Sisyphus,薛西弗斯的神話,"科幻, 驚悚, 冒險動作",NA,7
2021,8,5,The Uncanny Counter,驅魔麵館,"網路漫改, 奇幻, 驚悚",NA,8.1
2021,9,1,Vincenzo,黑道律師文森佐,社會議題,Park Jae-beom,8.4
2021,9,1,Vincenzo,黑道律師文森佐,社會議題,Kim Hee-won,8.4
2021,9,2,Sisyphus,薛西弗斯的神話,"科幻, 驚悚, 冒險動作",NA,7
2021,9,5,Love (ft. Marriage and Divorce),婚詞離曲,劇情,Im Sung-han,6.6
2021,9,7,The Uncanny Counter,驅魔麵館,"網路漫改, 奇幻, 驚悚",NA,8.1
2021,10,1,Vincenzo,黑道律師文森佐,社會議題,Park Jae-beom,8.4
2021,10,1,Vincenzo,黑道律師文森佐,社會議題,Kim Hee-won,8.4
2021,10,2,Sisyphus,薛西弗斯的神話,"科幻, 驚悚, 冒險動作",NA,7
2021,10,5,Love (ft. Marriage and Divorce),婚詞離曲,劇情,Im Sung-han,6.6
2021,11,1,Vincenzo,黑道律師文森佐,社會議題,Park Jae-beom,8.4
2021,11,1,Vincenzo,黑道律師文森佐,社會議題,Kim Hee-won,8.4
2021,11,2,Sisyphus,薛西弗斯的神話,"科幻, 驚悚, 冒險動作",NA,7
2021,11,5,Love (ft. Marriage and Divorce),婚詞離曲,劇情,Im Sung-han,6.6
2021,11,7,Love Alarm,喜歡的話請響鈴,"網路漫改, 浪漫, 青少年",Yoo Bo-ra,6.8
2021,12,1,Vincenzo,黑道律師文森佐,社會議題,Park Jae-beom,8.4
2021,12,1,Vincenzo,黑道律師文森佐,社會議題,Kim Hee-won,8.4
2021,12,10,Love (ft. Marriage and Divorce),婚詞離曲,劇情,Im Sung-han,6.6
2021,12,2,Sisyphus,薛西弗斯的神話,"科幻, 驚悚, 冒險動作",NA,7
2021,12,6,Love (ft. Marriage and Divorce),婚詞離曲,劇情,Im Sung-han,6.6
2021,13,1,Vincenzo,黑道律師文森佐,社會議題,Park Jae-beom,8.4
2021,13,1,Vincenzo,黑道律師文森佐,社會議題,Kim Hee-won,8.4
2021,13,2,Sisyphus,薛西弗斯的神話,"科幻, 驚悚, 冒險動作",NA,7
2021,13,8,Love (ft. Marriage and Divorce),婚詞離曲,劇情,Im Sung-han,6.6
2021,14,1,Vincenzo,黑道律師文森佐,社會議題,Park Jae-beom,8.4
2021,14,1,Vincenzo,黑道律師文森佐,社會議題,Kim Hee-won,8.4
2021,14,2,Sisyphus,薛西弗斯的神話,"科幻, 驚悚, 冒險動作",NA,7
2021,15,1,Vincenzo,黑道律師文森佐,社會議題,Park Jae-beom,8.4
2021,15,1,Vincenzo,黑道律師文森佐,社會議題,Kim Hee-won,8.4
2021,15,10,Law School,LAW SCHOOL,"懸疑推理, 犯罪, 法庭",Kim Sok-yun,8
2021,15,10,Law School,LAW SCHOOL,"懸疑推理, 犯罪, 法庭",Seo In,8
2021,15,2,Sisyphus,薛西弗斯的神話,"科幻, 驚悚, 冒險動作",NA,7
2021,15,9,Sisyphus,薛西弗斯的神話,"科幻, 驚悚, 冒險動作",NA,7
2021,16,1,Vincenzo,黑道律師文森佐,社會議題,Park Jae-beom,8.4
2021,16,1,Vincenzo,黑道律師文森佐,社會議題,Kim Hee-won,8.4
2021,16,2,Sisyphus,薛西弗斯的神話,"科幻, 驚悚, 冒險動作",NA,7
2021,16,5,Law School,LAW SCHOOL,"懸疑推理, 犯罪, 法庭",Kim Sok-yun,8
2021,16,5,Law School,LAW SCHOOL,"懸疑推理, 犯罪, 法庭",Seo In,8
2021,16,8,Navillera,如蝶翩翩,網路漫改,Lee Eun Mi,8.8
2021,16,8,Navillera,如蝶翩翩,網路漫改,Hun,8.8
2021,17,1,Vincenzo,黑道律師文森佐,社會議題,Park Jae-beom,8.4
2021,17,1,Vincenzo,黑道律師文森佐,社會議題,Kim Hee-won,8.4
2021,17,5,Law School,LAW SCHOOL,"懸疑推理, 犯罪, 法庭",Kim Sok-yun,8
2021,17,5,Law School,LAW SCHOOL,"懸疑推理, 犯罪, 法庭",Seo In,8
2021,17,6,Sisyphus,薛西弗斯的神話,"科幻, 驚悚, 冒險動作",NA,7
2021,17,7,Navillera,如蝶翩翩,網路漫改,Lee Eun Mi,8.8
2021,17,7,Navillera,如蝶翩翩,網路漫改,Hun,8.8
2021,18,1,Vincenzo,黑道律師文森佐,社會議題,Park Jae-beom,8.4
2021,18,1,Vincenzo,黑道律師文森佐,社會議題,Kim Hee-won,8.4
2021,18,4,Law School,LAW SCHOOL,"懸疑推理, 犯罪, 法庭",Kim Sok-yun,8
2021,18,4,Law School,LAW SCHOOL,"懸疑推理, 犯罪, 法庭",Seo In,8
2021,18,6,Possessed,附身,"犯罪, 奇幻, 驚悚",NA,6.7
2021,18,8,Navillera,如蝶翩翩,網路漫改,Lee Eun Mi,8.8
2021,18,8,Navillera,如蝶翩翩,網路漫改,Hun,8.8
2021,18,9,Sisyphus,薛西弗斯的神話,"科幻, 驚悚, 冒險動作",NA,7
2021,19,1,Vincenzo,黑道律師文森佐,社會議題,Park Jae-beom,8.4
2021,19,1,Vincenzo,黑道律師文森佐,社會議題,Kim Hee-won,8.4
2021,19,10,Possessed,附身,"犯罪, 奇幻, 驚悚",NA,6.7
2021,19,4,Law School,LAW SCHOOL,"懸疑推理, 犯罪, 法庭",Kim Sok-yun,8
2021,19,4,Law School,LAW SCHOOL,"懸疑推理, 犯罪, 法庭",Seo In,8
2021,19,5,Mine,我的上流世界,劇情,Baek Mi-kyung,7.7
2021,19,5,Mine,我的上流世界,劇情,Lee Na-jeong,7.7
2021,20,2,Vincenzo,黑道律師文森佐,社會議題,Park Jae-beom,8.4
2021,20,2,Vincenzo,黑道律師文森佐,社會議題,Kim Hee-won,8.4
2021,20,4,Move to Heaven,MOVE TO HEAVEN：我是遺物整理師,劇情,Yoon Ji-ryeon,8.6
2021,20,7,Mine,我的上流世界,劇情,Baek Mi-kyung,7.7
2021,20,7,Mine,我的上流世界,劇情,Lee Na-jeong,7.7
2021,20,8,Law School,LAW SCHOOL,"懸疑推理, 犯罪, 法庭",Kim Sok-yun,8
2021,20,8,Law School,LAW SCHOOL,"懸疑推理, 犯罪, 法庭",Seo In,8
2021,21,2,Move to Heaven,MOVE TO HEAVEN：我是遺物整理師,劇情,Yoon Ji-ryeon,8.6
2021,21,4,Vincenzo,黑道律師文森佐,社會議題,Park Jae-beom,8.4
2021,21,4,Vincenzo,黑道律師文森佐,社會議題,Kim Hee-won,8.4
2021,21,5,Mine,我的上流世界,劇情,Baek Mi-kyung,7.7
2021,21,5,Mine,我的上流世界,劇情,Lee Na-jeong,7.7
2021,21,7,Law School,LAW SCHOOL,"懸疑推理, 犯罪, 法庭",Kim Sok-yun,8
2021,21,7,Law School,LAW SCHOOL,"懸疑推理, 犯罪, 法庭",Seo In,8
2021,22,2,Move to Heaven,MOVE TO HEAVEN：我是遺物整理師,劇情,Yoon Ji-ryeon,8.6
2021,22,3,Vincenzo,黑道律師文森佐,社會議題,Park Jae-beom,8.4
2021,22,3,Vincenzo,黑道律師文森佐,社會議題,Kim Hee-won,8.4
2021,22,4,Mine,我的上流世界,劇情,Baek Mi-kyung,7.7
2021,22,4,Mine,我的上流世界,劇情,Lee Na-jeong,7.7
