Year,Week,Ranking,name,movie_zh_name,first_air_date,genre_ids,id,origin_country,original_language,overview,popularity,vote_average,vote_count
2022,16,1,Business Proposal,社內相親,2022-02-28,"c(35, 18)",154825,KR,ko,An ordinary office worker disguises herself and goes on a blind date with her attractive boss in the place of her friend to end this unwanted marriage blind date after her request.,119.774,8.3,49
2022,16,2,Twenty Five Twenty One,二十五，二十一,2022-02-12,18,129888,KR,ko,"The dreams of two young people are crushed by an overwhelming financial crisis in the 1990s. But when they reunite at the ages of 25 and 21, the spirited pair finds friendship and affection in times of adversity as they venture into adulthood together.",47.492,8.6,28
2022,16,3,Let's Open,來吧！營業中,2022-03-19,10764,196493,TW,zh,"In this reality TV series, a group of Taiwanese celebrities must work together to convert an old house by the sea into a full-fledged restaurant.",16.538,6,1
2022,16,4,Thirty-Nine,三十九,2022-02-16,18,131028,KR,ko,"Leaning on each other through thick and thin, a trio of best friends stand together as they experience life, love and loss on the brink of turning 40.",8.198,9.4,12
2022,16,5,Our Blues,我們的藍調時光,2022-04-09,18,135840,KR,ko,Romance is sweet and bitter — and life riddled with ups and downs — in multiple stories about people who live and work on bustling Jeju island.,56.05,9.3,11
2022,16,6,Tomorrow,還有明天,2022-04-01,18,136369,KR,ko,"Made half-human and half-spirit by accident, a young man is employed by a company of grim reapers in the underworld to carry out special missions.",65.745,8.6,30
2022,16,7,Forecasting Love and Weather,氣象廳的人們：社內戀愛殘酷史篇,2022-02-12,18,152511,KR,ko,"Inside a national weather service, love proves just as difficult to predict as rain or shine for a diligent forecaster and her free-spirited co-worker.",18.87,8.8,24
2022,16,8,Falling Into Your Smile,Falling Into Your Smile,2021-06-23,"c(35, 18)",95486,CN,zh,"Student Tong Yao makes two vows: to never be in a relationship with someone in the same field and to make up for the Chinese League of Legends. When Tong Yao earns her spot as the first formal female player in China's professional league, she catches the attention of an elite team captain. Facing doubts and inconveniences, she meets each challenge with her own persistence and her teammates' support. After much effort, what will become of her vows? Will she stand on the world stage to make up for six years of regret? Will she avoid a romantic entanglement within the e-sports world?  Adapted from the novel You're Beautiful When You Smile by Qing Mei.",35.308,9.4,19
2022,16,9,Black Dog,Black Dog,2019-12-16,18,95067,KR,ko,"Ko Ha-Neul dreamed of becoming a teacher, due to a teacher who helped her when she was young. Ko Ha-Neul now begins work as a temporary teacher at a private high school. While working there, she interacts with many people, including teachers Park Sung-Soon and Do Yeon-Woo. Both of whom are dedicated to their teaching jobs. Meanwhile, Ko Ha-Neul faces different problems at the school. As she works through those problems, Ko Ha-Neul grows as a person and a teacher.",5.38,9.1,7
2022,16,10,Reset,開端,2022-01-11,"c(18, 10765, 9648)",155441,CN,zh,"Tells of two groups of people stuck in a time loop where they keep returning to the beginning of a day or incident.

In part one, Li Shi Qing experiences death over and over again on a bus, with each loop sending her back to the bus and back in time. To get off the bus, she accidentally dragged fellow passenger Xiao He Yun into the time loop. The two must try everything to make sure the bus gets to its destination safely to close the time loop.",4.963,7.8,25
2022,17,1,Business Proposal,社內相親,2022-02-28,"c(35, 18)",154825,KR,ko,An ordinary office worker disguises herself and goes on a blind date with her attractive boss in the place of her friend to end this unwanted marriage blind date after her request.,119.774,8.3,49
2022,17,2,Twenty Five Twenty One,二十五，二十一,2022-02-12,18,129888,KR,ko,"The dreams of two young people are crushed by an overwhelming financial crisis in the 1990s. But when they reunite at the ages of 25 and 21, the spirited pair finds friendship and affection in times of adversity as they venture into adulthood together.",47.492,8.6,28
2022,17,3,Let's Open,來吧！營業中,2022-03-19,10764,196493,TW,zh,"In this reality TV series, a group of Taiwanese celebrities must work together to convert an old house by the sea into a full-fledged restaurant.",16.538,6,1
2022,17,4,Who Rules The World,且試天下,2022-04-18,18,127323,CN,zh,"A legendary wuxia romance that focuses on the decade-long romance between Hei Fengxi and Bai Fengxi, and the adventures they embark on together.",13.562,6,6
2022,17,5,Our Blues,我們的藍調時光,2022-04-09,18,135840,KR,ko,Romance is sweet and bitter — and life riddled with ups and downs — in multiple stories about people who live and work on bustling Jeju island.,56.05,9.3,11
2022,17,6,Falling Into Your Smile,Falling Into Your Smile,2021-06-23,"c(35, 18)",95486,CN,zh,"Student Tong Yao makes two vows: to never be in a relationship with someone in the same field and to make up for the Chinese League of Legends. When Tong Yao earns her spot as the first formal female player in China's professional league, she catches the attention of an elite team captain. Facing doubts and inconveniences, she meets each challenge with her own persistence and her teammates' support. After much effort, what will become of her vows? Will she stand on the world stage to make up for six years of regret? Will she avoid a romantic entanglement within the e-sports world?  Adapted from the novel You're Beautiful When You Smile by Qing Mei.",35.308,9.4,19
2022,17,7,Tomorrow,還有明天,2022-04-01,18,136369,KR,ko,"Made half-human and half-spirit by accident, a young man is employed by a company of grim reapers in the underworld to carry out special missions.",65.745,8.6,30
2022,17,8,Thirty-Nine,三十九,2022-02-16,18,131028,KR,ko,"Leaning on each other through thick and thin, a trio of best friends stand together as they experience life, love and loss on the brink of turning 40.",8.198,9.4,12
2022,17,9,Forecasting Love and Weather,氣象廳的人們：社內戀愛殘酷史篇,2022-02-12,18,152511,KR,ko,"Inside a national weather service, love proves just as difficult to predict as rain or shine for a diligent forecaster and her free-spirited co-worker.",18.87,8.8,24
2022,17,10,Love (ft. Marriage and Divorce),婚詞離曲,2021/1/23,18,116041,KR,ko,"Everything comes unraveling for three successful women who work on a radio show as twists, turns and troubles plague their seemingly happy marriages.",39.72,6.1,8
2022,18,1,Who Rules The World,且試天下,2022-04-18,18,127323,CN,zh,"A legendary wuxia romance that focuses on the decade-long romance between Hei Fengxi and Bai Fengxi, and the adventures they embark on together.",13.562,6,6
2022,18,2,The Oath of Love,餘生，請多指教,2022-03-15,18,95044,CN,zh,"Lin Zhixiao's entire world is turned upside down just before graduation. Her father is hospitalized after being diagnosed with cancer which leaves her no choice but to give up an important job opportunity. She and her boyfriend also break up. In an instant, all of her hopes and dreams for the future are gone.

At this time, Gu Wei, her father's attending physician, walks into Lin Zhixiao's life. Love has the tendency to creep up on you when you're not looking. Two people who have been hurt before gradually get to know each other and fall in love. They go through doubts and hit road bumps, they experience misunderstandings and trying times, but in the process of falling in love, they realize that they are made for each other.",9.981,6.8,4
2022,18,3,Let's Open,來吧！營業中,2022-03-19,10764,196493,TW,zh,"In this reality TV series, a group of Taiwanese celebrities must work together to convert an old house by the sea into a full-fledged restaurant.",16.538,6,1
2022,18,4,Our Blues,我們的藍調時光,2022-04-09,18,135840,KR,ko,Romance is sweet and bitter — and life riddled with ups and downs — in multiple stories about people who live and work on bustling Jeju island.,56.05,9.3,11
2022,18,5,Business Proposal,社內相親,2022-02-28,"c(35, 18)",154825,KR,ko,An ordinary office worker disguises herself and goes on a blind date with her attractive boss in the place of her friend to end this unwanted marriage blind date after her request.,119.774,8.3,49
2022,18,6,Twenty Five Twenty One,二十五，二十一,2022-02-12,18,129888,KR,ko,"The dreams of two young people are crushed by an overwhelming financial crisis in the 1990s. But when they reunite at the ages of 25 and 21, the spirited pair finds friendship and affection in times of adversity as they venture into adulthood together.",47.492,8.6,28
2022,18,7,Tomorrow,還有明天,2022-04-01,18,136369,KR,ko,"Made half-human and half-spirit by accident, a young man is employed by a company of grim reapers in the underworld to carry out special missions.",65.745,8.6,30
2022,18,8,My Liberation Notes,我的出走日記,2022-04-09,"c(18, 10751)",154887,KR,ko,"Three siblings, exhausted by the monotony of day-to-day adulthood, seek to find fulfillment and freedom from their unremarkable lives.",51.456,7.2,6
2022,18,9,Falling Into Your Smile,Falling Into Your Smile,2021-06-23,"c(35, 18)",95486,CN,zh,"Student Tong Yao makes two vows: to never be in a relationship with someone in the same field and to make up for the Chinese League of Legends. When Tong Yao earns her spot as the first formal female player in China's professional league, she catches the attention of an elite team captain. Facing doubts and inconveniences, she meets each challenge with her own persistence and her teammates' support. After much effort, what will become of her vows? Will she stand on the world stage to make up for six years of regret? Will she avoid a romantic entanglement within the e-sports world?  Adapted from the novel You're Beautiful When You Smile by Qing Mei.",35.308,9.4,19
2022,18,10,Love (ft. Marriage and Divorce),婚詞離曲,2021/1/23,18,116041,KR,ko,"Everything comes unraveling for three successful women who work on a radio show as twists, turns and troubles plague their seemingly happy marriages.",39.72,6.1,8
2022,19,1,Who Rules The World,且試天下,2022-04-18,18,127323,CN,zh,"A legendary wuxia romance that focuses on the decade-long romance between Hei Fengxi and Bai Fengxi, and the adventures they embark on together.",13.562,6,6
2022,19,2,The Oath of Love,餘生，請多指教,2022-03-15,18,95044,CN,zh,"Lin Zhixiao's entire world is turned upside down just before graduation. Her father is hospitalized after being diagnosed with cancer which leaves her no choice but to give up an important job opportunity. She and her boyfriend also break up. In an instant, all of her hopes and dreams for the future are gone.

At this time, Gu Wei, her father's attending physician, walks into Lin Zhixiao's life. Love has the tendency to creep up on you when you're not looking. Two people who have been hurt before gradually get to know each other and fall in love. They go through doubts and hit road bumps, they experience misunderstandings and trying times, but in the process of falling in love, they realize that they are made for each other.",9.981,6.8,4
2022,19,3,Let's Open,來吧！營業中,2022-03-19,10764,196493,TW,zh,"In this reality TV series, a group of Taiwanese celebrities must work together to convert an old house by the sea into a full-fledged restaurant.",16.538,6,1
2022,19,4,Our Blues,我們的藍調時光,2022-04-09,18,135840,KR,ko,Romance is sweet and bitter — and life riddled with ups and downs — in multiple stories about people who live and work on bustling Jeju island.,56.05,9.3,11
2022,19,5,Twenty Five Twenty One,二十五，二十一,2022-02-12,18,129888,KR,ko,"The dreams of two young people are crushed by an overwhelming financial crisis in the 1990s. But when they reunite at the ages of 25 and 21, the spirited pair finds friendship and affection in times of adversity as they venture into adulthood together.",47.492,8.6,28
2022,19,6,Business Proposal,社內相親,2022-02-28,"c(35, 18)",154825,KR,ko,An ordinary office worker disguises herself and goes on a blind date with her attractive boss in the place of her friend to end this unwanted marriage blind date after her request.,119.774,8.3,49
2022,19,7,My Liberation Notes,我的出走日記,2022-04-09,"c(18, 10751)",154887,KR,ko,"Three siblings, exhausted by the monotony of day-to-day adulthood, seek to find fulfillment and freedom from their unremarkable lives.",51.456,7.2,6
2022,19,8,Tomorrow,還有明天,2022-04-01,18,136369,KR,ko,"Made half-human and half-spirit by accident, a young man is employed by a company of grim reapers in the underworld to carry out special missions.",65.745,8.6,30
2022,19,9,Mad Doctor,村裡來了個暴走女外科,NA,NULL,135360,TW,zh,NA,NA,NA,NA
2022,19,10,SPY x FAMILY,SPY×FAMILY 間諜家家酒,2022-04-09,"c(16, 35, 10759, 80)",120089,JP,ja,"Master spy Twilight is the best at what he does when it comes to going undercover on dangerous missions in the name of a better world. But when he receives the ultimate impossible assignment—get married and have a kid—he may finally be in over his head!

Not one to depend on others, Twilight has his work cut out for him procuring both a wife and a child for his mission to infiltrate an elite private school. What he doesn't know is that the wife he's chosen is an assassin and the child he's adopted is a telepath!",1241.933,8.7,123
2022,20,1,Who Rules The World,且試天下,2022-04-18,18,127323,CN,zh,"A legendary wuxia romance that focuses on the decade-long romance between Hei Fengxi and Bai Fengxi, and the adventures they embark on together.",13.562,6,6
2022,20,2,Our Blues,我們的藍調時光,2022-04-09,18,135840,KR,ko,Romance is sweet and bitter — and life riddled with ups and downs — in multiple stories about people who live and work on bustling Jeju island.,56.05,9.3,11
2022,20,3,Let's Open,來吧！營業中,2022-03-19,10764,196493,TW,zh,"In this reality TV series, a group of Taiwanese celebrities must work together to convert an old house by the sea into a full-fledged restaurant.",16.538,6,1
2022,20,4,Mad Doctor,村裡來了個暴走女外科,NA,NULL,135360,TW,zh,NA,NA,NA,NA
2022,20,5,The Oath of Love,餘生，請多指教,2022-03-15,18,95044,CN,zh,"Lin Zhixiao's entire world is turned upside down just before graduation. Her father is hospitalized after being diagnosed with cancer which leaves her no choice but to give up an important job opportunity. She and her boyfriend also break up. In an instant, all of her hopes and dreams for the future are gone.

At this time, Gu Wei, her father's attending physician, walks into Lin Zhixiao's life. Love has the tendency to creep up on you when you're not looking. Two people who have been hurt before gradually get to know each other and fall in love. They go through doubts and hit road bumps, they experience misunderstandings and trying times, but in the process of falling in love, they realize that they are made for each other.",9.981,6.8,4
2022,20,6,Tomorrow,還有明天,2022-04-01,18,136369,KR,ko,"Made half-human and half-spirit by accident, a young man is employed by a company of grim reapers in the underworld to carry out special missions.",65.745,8.6,30
2022,20,7,My Liberation Notes,我的出走日記,2022-04-09,"c(18, 10751)",154887,KR,ko,"Three siblings, exhausted by the monotony of day-to-day adulthood, seek to find fulfillment and freedom from their unremarkable lives.",51.456,7.2,6
2022,20,8,Twenty Five Twenty One,二十五，二十一,2022-02-12,18,129888,KR,ko,"The dreams of two young people are crushed by an overwhelming financial crisis in the 1990s. But when they reunite at the ages of 25 and 21, the spirited pair finds friendship and affection in times of adversity as they venture into adulthood together.",47.492,8.6,28
2022,20,9,Business Proposal,社內相親,2022-02-28,"c(35, 18)",154825,KR,ko,An ordinary office worker disguises herself and goes on a blind date with her attractive boss in the place of her friend to end this unwanted marriage blind date after her request.,119.774,8.3,49
2022,20,10,SPY x FAMILY,SPY×FAMILY 間諜家家酒,2022-04-09,"c(16, 35, 10759, 80)",120089,JP,ja,"Master spy Twilight is the best at what he does when it comes to going undercover on dangerous missions in the name of a better world. But when he receives the ultimate impossible assignment—get married and have a kid—he may finally be in over his head!

Not one to depend on others, Twilight has his work cut out for him procuring both a wife and a child for his mission to infiltrate an elite private school. What he doesn't know is that the wife he's chosen is an assassin and the child he's adopted is a telepath!",1241.933,8.7,123
2022,21,1,Who Rules The World,且試天下,2022-04-18,18,127323,CN,zh,"A legendary wuxia romance that focuses on the decade-long romance between Hei Fengxi and Bai Fengxi, and the adventures they embark on together.",13.562,6,6
2022,21,2,Mad Doctor,村裡來了個暴走女外科,NA,NULL,135360,TW,zh,NA,NA,NA,NA
2022,21,3,Our Blues,我們的藍調時光,2022-04-09,18,135840,KR,ko,Romance is sweet and bitter — and life riddled with ups and downs — in multiple stories about people who live and work on bustling Jeju island.,56.05,9.3,11
2022,21,4,My Liberation Notes,我的出走日記,2022-04-09,"c(18, 10751)",154887,KR,ko,"Three siblings, exhausted by the monotony of day-to-day adulthood, seek to find fulfillment and freedom from their unremarkable lives.",51.456,7.2,6
2022,21,5,Tomorrow,還有明天,2022-04-01,18,136369,KR,ko,"Made half-human and half-spirit by accident, a young man is employed by a company of grim reapers in the underworld to carry out special missions.",65.745,8.6,30
2022,21,6,Let's Open,來吧！營業中,2022-03-19,10764,196493,TW,zh,"In this reality TV series, a group of Taiwanese celebrities must work together to convert an old house by the sea into a full-fledged restaurant.",16.538,6,1
2022,21,7,Twenty Five Twenty One,二十五，二十一,2022-02-12,18,129888,KR,ko,"The dreams of two young people are crushed by an overwhelming financial crisis in the 1990s. But when they reunite at the ages of 25 and 21, the spirited pair finds friendship and affection in times of adversity as they venture into adulthood together.",47.492,8.6,28
2022,21,8,"Love, Death & Robots",愛 x 死 x 機器人,NA,NULL,86831,TW,zh,NA,NA,NA,NA
2022,21,9,SPY x FAMILY,SPY×FAMILY 間諜家家酒,2022-04-09,"c(16, 35, 10759, 80)",120089,JP,ja,"Master spy Twilight is the best at what he does when it comes to going undercover on dangerous missions in the name of a better world. But when he receives the ultimate impossible assignment—get married and have a kid—he may finally be in over his head!

Not one to depend on others, Twilight has his work cut out for him procuring both a wife and a child for his mission to infiltrate an elite private school. What he doesn't know is that the wife he's chosen is an assassin and the child he's adopted is a telepath!",1241.933,8.7,123
2022,21,10,The Oath of Love,餘生，請多指教,2022-03-15,18,95044,CN,zh,"Lin Zhixiao's entire world is turned upside down just before graduation. Her father is hospitalized after being diagnosed with cancer which leaves her no choice but to give up an important job opportunity. She and her boyfriend also break up. In an instant, all of her hopes and dreams for the future are gone.

At this time, Gu Wei, her father's attending physician, walks into Lin Zhixiao's life. Love has the tendency to creep up on you when you're not looking. Two people who have been hurt before gradually get to know each other and fall in love. They go through doubts and hit road bumps, they experience misunderstandings and trying times, but in the process of falling in love, they realize that they are made for each other.",9.981,6.8,4
